,id_user,user_name,created_at,followers,following,text,text_stemmed,text_lemmatized
425,1173310802746585093,Corey,2019-09-15 19:01:09,123,442,"['baseball', 'greatest', 'sport']","['basebal', 'greatest', 'sport']","['baseball', 'greatest', 'sport']"
426,1172987888226557952,LivEchoLFC,2019-09-14 21:38:00,587515,551,"['issued', 'update', 'striker', 'replaced']","['issu', 'updat', 'striker', 'replac']","['issued', 'update', 'striker', 'replaced']"
428,1173310795653865472,gdgd gm (the crew2  2 gtsport sport),2019-09-15 19:01:07,320,330,"['less', 'week', 'since', 'started', 'fun', 'however', 'rarely', 'played', 'post', 'videos', 'sport']","['less', 'week', 'sinc', 'start', 'fun', 'howev', 'rare', 'play', 'post', 'video', 'sport']","['le', 'week', 'since', 'started', 'fun', 'however', 'rarely', 'played', 'post', 'video', 'sport']"
430,1173239140084789248,SunBoxing,2019-09-15 14:16:23,20268,218,"['warns', 'heavyweight', 'rivals', 'incredible', 'punching', 'power', 'get', 'even', 'explosive']","['warn', 'heavyweight', 'rival', 'incred', 'punch', 'power', 'get', 'even', 'explos']","['warns', 'heavyweight', 'rival', 'incredible', 'punching', 'power', 'get', 'even', 'explosive']"
431,1173310780990808066,CMC Leadville,2019-09-15 19:01:03,870,1547,"['helping', 'increase', 'number', 'women', 'water', 'enjoying', 'sport', 'helping', 'increase', 'number', 'women', 'work', 'industry', 'thats', 'really', 'powerful', 'robin', 'professional', 'fly', 'fishing', 'guide', 'grad']","['help', 'increas', 'number', 'women', 'water', 'enjoy', 'sport', 'help', 'increas', 'number', 'women', 'work', 'industri', 'that', 'realli', 'power', 'robin', 'profession', 'fli', 'fish', 'guid', 'grad']","['helping', 'increase', 'number', 'woman', 'water', 'enjoying', 'sport', 'helping', 'increase', 'number', 'woman', 'work', 'industry', 'thats', 'really', 'powerful', 'robin', 'professional', 'fly', 'fishing', 'guide', 'grad']"
433,1173310765580734464,The Chronicle,2019-09-15 19:01:00,84507,245,"['injury', 'update']","['injuri', 'updat']","['injury', 'update']"
434,1169546647455576064,QAnonSage,2019-09-05 09:43:44,1658,976,"['thread', 'elite', 'human', 'hunting', 'parties', 'warning', 'reader', 'discretion', 'advised', 'ulterior', 'motive', 'behind', 'new', 'films', 'hunt', 'ready', 'would', 'attempt', 'glorify', 'hunting', 'human', 'beings', 'sport', 'like', 'animals']","['thread', 'elit', 'human', 'hunt', 'parti', 'warn', 'reader', 'discret', 'advis', 'ulterior', 'motiv', 'behind', 'new', 'film', 'hunt', 'readi', 'would', 'attempt', 'glorifi', 'hunt', 'human', 'be', 'sport', 'like', 'anim']","['thread', 'elite', 'human', 'hunting', 'party', 'warning', 'reader', 'discretion', 'advised', 'ulterior', 'motive', 'behind', 'new', 'film', 'hunt', 'ready', 'would', 'attempt', 'glorify', 'hunting', 'human', 'being', 'sport', 'like', 'animal']"
435,1173309538113642496,AlexBThomson,2019-09-15 18:56:07,7638,2603,"['procrastination', 'sport', 'put', 'entering', 'next']","['procrastin', 'sport', 'put', 'enter', 'next']","['procrastination', 'sport', 'put', 'entering', 'next']"
436,1173310759742443522,Elizabeth|Trinity,2019-09-15 19:00:58,1615,1019,"['pull', 'place', 'extreme', 'sport']","['pull', 'place', 'extrem', 'sport']","['pull', 'place', 'extreme', 'sport']"
437,1173310755464261634,Ziavpi Xeombi,2019-09-15 19:00:57,39,0,"['pairs', 'mens', 'sport', 'socks', 'cushion', 'sole', 'black', 'white', 'cotton', 'rich', 'size', 'watch', 'count', 'price', 'watch', 'count']","['pair', 'men', 'sport', 'sock', 'cushion', 'sole', 'black', 'white', 'cotton', 'rich', 'size', 'watch', 'count', 'price', 'watch', 'count']","['pair', 'men', 'sport', 'sock', 'cushion', 'sole', 'black', 'white', 'cotton', 'rich', 'size', 'watch', 'count', 'price', 'watch', 'count']"
438,1173310755426447362,Nathan Dark,2019-09-15 19:00:57,43,200,"['two', 'absolute', 'icons', 'us', 'fortunate', 'see', 'guys', 'playing', 'prime', 'hear', 'commentary', 'absolute', 'pleasure', 'scandalous', 'sky', 'typical', 'way', 'going', 'across', 'sport', 'general']","['two', 'absolut', 'icon', 'us', 'fortun', 'see', 'guy', 'play', 'prime', 'hear', 'commentari', 'absolut', 'pleasur', 'scandal', 'sky', 'typic', 'way', 'go', 'across', 'sport', 'gener']","['two', 'absolute', 'icon', 'u', 'fortunate', 'see', 'guy', 'playing', 'prime', 'hear', 'commentary', 'absolute', 'pleasure', 'scandalous', 'sky', 'typical', 'way', 'going', 'across', 'sport', 'general']"
439,1173034721762336768,JohnKasich,2019-09-15 00:44:06,945579,10023,"['impressed', 'fans', 'today', 'showed', 'life', 'kindness', 'love']","['impress', 'fan', 'today', 'show', 'life', 'kind', 'love']","['impressed', 'fan', 'today', 'showed', 'life', 'kindness', 'love']"
